SpeciesName ,,,
,,,
RESILIENCE  ,,,
low,,,
,,,
,,,
NYRS  ,,,
30,   ,,
,,,
,,,
YEARS,catch,cpue,SE  
1986,498.3,1.1499,0.126
1987,492.3,1.2227,0.126
1988,400.1,1.1739,0.126
1989,422.1,1.0159,0.126
1990,413.1,1.4691,0.126
1991,370.3,1.4363,0.126
1992,331.3,1.1225,0.126
1993,504.5,1.0684,0.126
1994,470.3,1.0954,0.126
1995,586.7,1.373,0.126
1996,667.6,1.3682,0.126
1997,732.7,1.3949,0.126
1998,730.5,1.3787,0.126
1999,832.7,1.2527,0.126
2000,660.3,1.1022,0.126
2001,485.6,0.8585,0.126
2002,360.6,0.752,0.126
2003,445.8,0.7829,0.126
2004,347.2,0.7036,0.126
2005,329.9,0.6572,0.126
2006,323.1,0.7912,0.126
2007,204.3,0.7504,0.126
2008,329,0.898,0.126
2009,212.4,0.6396,0.126
2010,271.1,0.7924,0.126
2011,294.9,0.8331,0.126
2012,273.3,0.8924,0.126
2013,185.9,0.7378,0.126
2014,235.3,0.8322,0.126
2015,189.4,0.7213,0.126
2016,194.1,0.7336,0.126
,,,
BIOLOGY  ,,,
20, maxage  the maximum age, usually a plus group ,
0.225, M  natural mortality  ,,
103.4, Linf vB asymptotic maximum length ,,
0.2, K vB Brody growth coefficient ,,
-3.139, t0 theoretical age at zero length,,
2.90E-03, Waa weight at age a parameter ,,
3.139, Wab weight at age b parameter ,,
5, M50a age at 50% maturity  ,,
2.5, deltaM diff between ages at 50 and 95% maturity ,,
3.5, sela50 age at 50% selectivity  ,,
1, deltaS diff between 50 and 95% ,,
0.75, steep stock recruitment steepness ,,
15.3, R0 default value this will be estimated  ,,
