year,catch,cpue,se,geom,vessels,records
1986,283.4341601,0.7005,0,71.7,47,1592
1987,185.6117508,0.8842,0.038,93,47,1764
1988,285.942427,0.9786,0.041,124.6,41,1395
1989,234.5229554,0.8371,0.043,139.3,39,1143
1990,329.8370978,1.5811,0.049,174.5,25,727
1991,461.5211102,1.3874,0.05,182.9,29,734
1992,668.4531297,1.0286,0.058,166.3,19,434
1993,574.3931208,1.2245,0.05,172.4,21,673
1994,482.073,1.1569,0.05,170.3,26,661
1995,529.336,0.9135,0.044,105,25,1070
1996,424.963,0.8085,0.042,95.4,25,1216
1997,473.4059,0.7581,0.047,86.8,21,855
1998,450.916,0.7948,0.043,67.9,23,1234
1999,583.3239,0.8095,0.041,84.2,25,1607
2000,626.6367,1.0153,0.041,127.1,27,1540
2001,481.039,0.8556,0.043,75.8,22,1314
2002,689.9642,1.029,0.04,131.4,23,1740
2003,340.8123,1.056,0.049,115.3,26,801
2004,290.6527,1.074,0.054,206.4,22,579
2005,253.0319,0.9798,0.054,153.1,21,601
2006,250.8156,1.172,0.058,297.3,17,455
2007,173.0581072,0.8106,0.066,251.2,9,324
2008,125.4746765,0.6961,0.074,220.9,8,252
2009,102.1263816,0.8865,0.079,158.9,9,250
2010,127.195461,0.8687,0.066,138.1,9,343
2011,134.0315773,1.2696,0.07,206.3,8,291
2012,160.0287287,0.9778,0.065,169.1,9,363
2013,270.7293737,1.2516,0.069,286.6,9,428
2014,148.1924547,1.0019,0.066,176.3,11,351
2015,173.4186463,1.0107,0.069,219.9,8,345
2016,185.8792708,1.1814,0.067,276.8,9,327
