"","V1","V2"
"1",0.01,12.33
"2",0.02,12.37
"3",0.03,12.41
"4",0.04,12.46
"5",0.05,12.5
"6",0.06,12.55
"7",0.07,12.59
"8",0.08,12.64
"9",0.09,12.67
"10",0.1,12.72
"11",0.11,12.76
"12",0.12,12.81
"13",0.13,12.86
"14",0.14,12.9
"15",0.15,12.95
"16",0.16,12.99
"17",0.17,13.04
"18",0.18,13.08
"19",0.19,13.12
"20",0.2,13.17
"21",0.21,13.21
"22",0.22,13.25
"23",0.23,13.31
"24",0.24,13.35
"25",0.25,13.39
"26",0.26,13.44
"27",0.27,13.49
"28",0.28,13.53
"29",0.29,13.58
"30",0.3,13.63
"31",0.31,13.67
"32",0.32,13.72
"33",0.33,13.77
"34",0.34,13.82
"35",0.35,13.86
"36",0.36,13.91
"37",0.37,13.95
"38",0.38,14
"39",0.39,14.05
"40",0.4,14.1
"41",0.41,14.14
"42",0.42,14.19
"43",0.43,14.24
"44",0.44,14.29
"45",0.45,14.34
"46",0.46,14.39
"47",0.47,14.44
"48",0.48,14.48
"49",0.49,14.53
"50",0.5,14.58
"51",0.51,14.63
"52",0.52,14.68
"53",0.53,14.73
"54",0.54,14.77
"55",0.55,14.83
"56",0.56,14.88
"57",0.57,14.93
"58",0.58,14.98
"59",0.59,15.02
"60",0.6,15.07
"61",0.61,15.12
"62",0.62,15.17
"63",0.63,15.22
"64",0.64,15.28
"65",0.65,15.33
"66",0.66,15.38
"67",0.67,15.43
"68",0.68,15.48
"69",0.69,15.52
"70",0.7,15.58
"71",0.71,15.63
"72",0.72,15.69
"73",0.73,15.74
"74",0.74,15.79
"75",0.75,15.83
"76",0.76,15.89
"77",0.77,15.94
"78",0.78,15.99
"79",0.79,16.04
"80",0.8,16.1
"81",0.81,16.15
"82",0.82,16.2
"83",0.83,16.26
"84",0.84,16.31
"85",0.85,16.36
"86",0.86,16.42
"87",0.87,16.46
"88",0.88,16.52
"89",0.89,16.57
"90",0.9,16.62
"91",0.91,16.68
"92",0.92,16.73
"93",0.93,16.78
"94",0.94,16.84
"95",0.95,16.89
"96",0.96,16.95
"97",0.97,17.01
"98",0.98,17.05
"99",0.99,17.11
"100",1,17.16
"101",1.01,17.22
"102",1.02,17.27
"103",1.03,17.33
"104",1.04,17.39
"105",1.05,17.44
"106",1.06,17.5
"107",1.07,17.55
"108",1.08,17.61
"109",1.09,17.66
"110",1.1,17.72
"111",1.11,17.77
"112",1.12,17.83
"113",1.13,17.88
"114",1.14,17.94
"115",1.15,17.99
"116",1.16,18.05
"117",1.17,18.11
"118",1.18,18.17
"119",1.19,18.22
"120",1.2,18.28
"121",1.21,18.34
"122",1.22,18.39
"123",1.23,18.44
"124",1.24,18.51
"125",1.25,18.56
"126",1.26,18.62
"127",1.27,18.68
"128",1.28,18.73
"129",1.29,18.79
"130",1.3,18.85
"131",1.31,18.91
"132",1.32,18.96
"133",1.33,19.02
"134",1.34,19.08
"135",1.35,19.14
"136",1.36,19.19
"137",1.37,19.25
"138",1.38,19.32
"139",1.39,19.38
"140",1.4,19.43
"141",1.41,19.49
"142",1.42,19.54
"143",1.43,19.61
"144",1.44,19.67
"145",1.45,19.72
"146",1.46,19.79
"147",1.47,19.84
"148",1.48,19.9
"149",1.49,19.96
"150",1.5,20.02
"151",1.51,20.09
"152",1.52,20.14
"153",1.53,20.2
"154",1.54,20.27
"155",1.55,20.32
"156",1.56,20.38
"157",1.57,20.44
"158",1.58,20.51
"159",1.59,20.57
"160",1.6,20.62
"161",1.61,20.68
"162",1.62,20.74
"163",1.63,20.8
"164",1.64,20.86
"165",1.65,20.92
"166",1.66,20.98
"167",1.67,21.05
"168",1.68,21.11
"169",1.69,21.17
"170",1.7,21.23
"171",1.71,21.29
"172",1.72,21.35
"173",1.73,21.42
"174",1.74,21.48
"175",1.75,21.54
"176",1.76,21.61
"177",1.77,21.67
"178",1.78,21.73
"179",1.79,21.79
"180",1.8,21.85
"181",1.81,21.92
"182",1.82,21.98
"183",1.83,22.05
"184",1.84,22.1
"185",1.85,22.17
"186",1.86,22.23
"187",1.87,22.3
"188",1.88,22.35
"189",1.89,22.42
"190",1.9,22.49
"191",1.91,22.54
"192",1.92,22.61
"193",1.93,22.68
"194",1.94,22.74
"195",1.95,22.8
"196",1.96,22.86
"197",1.97,22.93
"198",1.98,23
"199",1.99,23.05
"200",2,23.12
